EMG,Force
samples,1161.0
time,1139.0
value,1187.0
0,1114.0
0,1133.0
0,1152.0
0,1134.0
0,1101.0
0,1155.0
0,1136.0
0,1200.0
0,970.0
0,959.0
0,1118.0
0,1153.0
0,1022.0
0,1146.0
0,1156.0
0,1097.0
0,967.0
0,1081.0
0,1264.0
0,1135.0
0,1097.0
0,1137.0
0,1163.0
0,1235.0
0,1053.0
0,1046.0
0,1153.0
0,946.0
0,1149.0
0,1124.0
0,1137.0
0,1167.0
0,1113.0
0,1109.0
0,1099.0
0,1136.0
0,1111.0
0,1131.0
0,1104.0
0,1168.0
0,1154.0
0,1132.0
0,1125.0
0,1088.0
0,1135.0
0,1271.0
0,1163.0
0,1162.0
0,1165.0
0,1022.0
0,1136.0
0,1122.0
0,1161.0
0,1127.0
0,1189.0
0,1133.0
0,1135.0
0,1115.0
0,1063.0
0,1136.0
0,1132.0
0,1089.0
0,1101.0
0,1154.0
0,1135.0
0,1124.0
0,1138.0
0,1137.0
0,1186.0
0,1141.0
0,1115.0
0,1083.0
0,1156.0
0,1147.0
0,1093.0
0,1136.0
0,1000.0
0,1134.0
0,1168.0
0,1097.0
0,1285.0
0,1087.0
0,1137.0
0,1123.0
0,1233.0
0,1117.0
0,1111.0
0,1132.0
0,1159.0
0,1009.0
0,1108.0
0,1152.0
0,1115.0
0,1159.0
0,1106.0
0,1200.0
0,1149.0
0,1199.0
0,1168.0
0,1163.0
0,1241.0
0,1166.0
0,1168.0
0,1262.0
0,1062.0
0,1123.0
0,1092.0
0,1147.0
0,1222.0
0,1115.0
0,1023.0
0,1103.0
0,1136.0
0,1136.0
0,1063.0
0,1136.0
0,1090.0
0,1168.0
0,1136.0
0,1125.0
0,1216.0
0,1101.0
0,1104.0
0,1145.0
0,1147.0
0,1123.0
0,979.0
0,1141.0
0,1103.0
0,941.0
0,1121.0
0,1051.0
0,1114.0
0,1134.0
0,1146.0
0,1121.0
0,992.0
0,1136.0
0,1168.0
0,944.0
0,1148.0
0,1104.0
0,1109.0
0,1222.0
0,1088.0
0,1121.0
0,1181.0
0,1137.0
0,967.0
0,1127.0
0,1154.0
0,1146.0
0,1094.0
0,1101.0
0,1142.0
0,999.0
0,1107.0
0,1156.0
0,1136.0
0,1167.0
0,1123.0
0,1143.0
0,1200.0
0,1112.0
0,1143.0
0,949.0
0,1136.0
0,1079.0
0,1122.0
0,959.0
0,1144.0
0,1146.0
0,1139.0
0,1141.0
0,1138.0
0,1087.0
0,1098.0
0,1119.0
0,1001.0
0,1121.0
0,1139.0
0,1125.0
0,1154.0
0,1127.0
0,1101.0
0,1147.0
0,944.0
0,1083.0
0,1144.0
0,1126.0
0,1130.0
0,1222.0
0,1123.0
0,1152.0
0,1122.0
0,1135.0
0,1237.0
0,1153.0
0,1003.0
0,1141.0
0,1129.0
0,1157.0
0,1152.0
0,1214.0
0,1152.0
0,1109.0
0,1159.0
0,1023.0
0,1072.0
0,1149.0
0,1104.0
0,1167.0
0,1191.0
0,1147.0
0,1259.0
0,1171.0
0,1130.0
0,1147.0
0,1122.0
0,1156.0
0,1139.0
0,1151.0
0,1147.0
0,1008.0
0,1123.0
0,1090.0
0,1040.0
0,1118.0
0,1157.0
0,1160.0
0,1143.0
0,1093.0
0,1168.0
0,1157.0
0,1128.0
0,1143.0
0,1200.0
0,1152.0
0,1137.0
0,1169.0
0,1154.0
0,1151.0
