EMG_time_ms,EMG_value,FORCE_time_ms,FORCE_newtons,Force_LPF,ENVELOPE_time_ms,EMG_Envelope
0.0,0.0,0.466,0.05752192017734603,0.05691752830229996,0.0,0.0
0.4655172734839499,0.0,0.932,0.020484970404625713,0.051861681626041455,0.4655172734839499,0.0
0.9310345469678998,0.0,1.399,0.009591734605870927,0.047308074942120915,0.9310345469678998,0.0
1.3965518204518497,0.0,1.864,0.029199585015152074,0.04360504733020046,1.3965518204518497,0.0
1.8620690939357996,0.0,2.324,0.029199585015152074,0.04100604161266207,1.8620690939357996,0.0
2.3275863674197494,0.0,2.795,0.04662868437859147,0.03964676021819715,2.3275863674197494,0.0
2.7931036409036993,0.0,3.258,0.0771297705866274,0.03953913987647515,2.7931036409036993,0.0
3.2586209143876492,0.0,3.72,0.020909351602165227,0.04057925423679326,3.2586209143876492,0.0
3.724138187871599,0.0,4.184,0.05970067122318823,0.04256465329776692,3.724138187871599,0.0
4.189655461355549,0.0,4.654,0.016552109225708822,0.045217385749849084,4.189655461355549,0.0
4.655172734839499,0.0,5.12,0.06187929241141643,0.04821061421026388,4.655172734839499,0.0
5.120690008323448,0.0,5.583,0.044450063190363265,0.05119778402561439,5.120690008323448,0.0
5.586207281807399,0.0,6.049,0.05534329898911805,0.053843227671572874,5.586207281807399,0.0
6.051724555291348,0.0,6.513,0.04009282081390686,0.055852385358265755,6.051724555291348,0.0
6.5172418287752985,0.0,6.979,0.08584438519715398,0.05699911686528562,6.5172418287752985,0.0
6.982759102259248,0.0,7.439,0.072772528210171,0.05714708775174743,6.982759102259248,0.0
7.448276375743198,0.0,7.905,0.05970067122318823,0.05626216540630337,7.448276375743198,0.0
7.913793649227148,0.0,8.37,0.05316467780088985,0.054413691085353655,7.913793649227148,0.0
8.379310922711097,0.0,8.836,0.044450063190363265,0.051764540224724674,8.379310922711097,0.0
8.844828196195047,0.0,9.299,0.029199585015152074,0.04855218419556792,8.844828196195047,0.0
9.310345469678998,0.0,9.769,0.04487457424551655,0.04506430550830243,9.310345469678998,0.0
9.775862743162946,0.0,10.232,0.0771297705866274,0.041612362152842315,9.775862743162946,0.0
10.241380016646897,0.0,10.695,0.022663591592853694,0.03850536961143478,10.241380016646897,0.0
10.706897290130847,0.0,11.165,0.01177035579409913,0.036025266200238194,10.706897290130847,0.0
11.172414563614797,0.0,11.628,0.037914069768064884,0.03440527285857661,11.172414563614797,0.0
11.637931837098746,0.0,12.094,0.04009282081390686,0.0338129929847739,11.637931837098746,0.0
12.103449110582696,0.0,12.558,0.012194866849252417,0.03433949004807206,12.103449110582696,0.0
12.568966384066647,0.0,13.024,0.08409027506407929,0.0359942428031354,12.568966384066647,0.0
13.034483657550597,0.0,13.491,0.020484970404625713,0.03870472973835597,13.034483657550597,0.0
13.500000931034545,0.0,13.95,0.04227144200213506,0.04231922472882242,13.500000931034545,0.0
13.965518204518496,0.0,14.414,0.037914069768064884,0.04661223084962686,13.965518204518496,0.0
14.431035478002446,0.0,14.88,0.072772528210171,0.051293188536463565,14.431035478002446,0.0
14.896552751486396,0.0,15.354,0.020484970404625713,0.05601981967644408,14.896552751486396,0.0
15.362070024970345,0.0,15.812,0.06187929241141643,0.060417453240497854,15.362070024970345,0.0
15.827587298454295,0.0,16.28,0.072772528210171,0.06410515893808995,15.827587298454295,0.0
16.293104571938244,0.0,16.743,0.031802717258533786,0.06672854023377912,16.293104571938244,0.0
16.758621845422194,0.0,17.206,0.037914069768064884,0.06799754018460549,16.758621845422194,0.0
17.224139118906145,0.0,17.669,0.022663591592853694,0.06772552654666157,17.224139118906145,0.0
17.689656392390095,0.0,18.135,0.3150271077413844,0.06586293720457313,17.689656392390095,0.0
18.155173665874045,0.0,18.604,0.03137820620338028,0.06251567131125906,18.155173665874045,0.0
18.620690939357996,0.0,19.07,0.0008771199953443443,0.057938708937056306,18.620690939357996,0.0
19.086208212841946,0.0,19.529,0.044450063190363265,0.052502161046785005,19.086208212841946,0.0
19.551725486325893,0.0,19.995,0.029199585015152074,0.04663710415125147,19.551725486325893,0.0
20.017242759809843,0.0,20.461,0.01177035579409913,0.040775054102645876,20.017242759809843,0.0
20.482760033293793,0.0,20.927,0.024842212781081896,0.03529460721810048,20.482760033293793,0.0
20.948277306777744,0.0,21.392,0.016127598170555313,0.030484308466601332,20.948277306777744,0.0
21.413794580261694,0.0,21.858,0.03355682739160848,0.026525629345244665,21.413794580261694,0.0
21.879311853745644,0.0,22.321,0.018306219358783515,0.023495384660810702,21.879311853745644,0.0
22.344829127229595,0.0,22.79,0.03398133844676199,0.021383395250990558,22.344829127229595,0.0
22.810346400713545,0.0,23.251,0.04662868437859147,0.02011907742514139,22.810346400713545,0.0
23.275863674197492,0.0,23.72,0.007837494615182239,0.019600061488660378,23.275863674197492,0.0
